Index,Level,Accuracy,Classifier,Transformation,ROC,Brier
78,Level 4,0.98046875,MC Dropout,Noise,0.991348890153671,0.01144950557500124
79,Level 4,0.9732142857142857,MC Dropout,Noise,0.9885918386850152,0.009997783228754997
80,Level 5,0.9587053571428571,MC Dropout,Noise,0.974750652864739,0.013156724162399769
81,Level 5,0.9642857142857143,MC Dropout,Noise,0.9667607060185185,0.014365805312991142
82,Level 5,0.9654017857142857,MC Dropout,Noise,0.975787805332836,0.015668045729398727
83,Level 5,0.9782366071428571,MC Dropout,Noise,0.9866602308131115,0.01319496426731348
84,Level 5,0.9765625,MC Dropout,Noise,0.9825442176870748,0.011647658422589302
85,Level 5,0.9559151785714286,MC Dropout,Noise,0.966518137548309,0.013481746427714825
86,Level 5,0.9771205357142857,MC Dropout,Noise,0.9506205513225892,0.014779283665120602
87,Level 5,0.9704241071428571,MC Dropout,Noise,0.9838770926687426,0.012614262290298939
88,Level 5,0.9598214285714286,MC Dropout,Noise,0.9724483204134367,0.013375970534980297
89,Level 5,0.9765625,MC Dropout,Noise,0.9837687074829932,0.013210741803050041
90,Level 5,0.9626116071428571,MC Dropout,Noise,0.9729526281635302,0.014299319125711918
91,Level 5,0.94921875,MC Dropout,Noise,0.960133341085722,0.016204386949539185
92,Level 5,0.9659598214285714,MC Dropout,Noise,0.9621463950526086,0.013956478796899319
93,Level 5,0.9754464285714286,MC Dropout,Noise,0.990443623881839,0.010863889940083027
94,Level 5,0.9587053571428571,MC Dropout,Noise,0.9778733914356732,0.014911037869751453
95,Level 5,0.9810267857142857,MC Dropout,Noise,0.9696848022485445,0.011826399713754654
96,Level 5,0.9626116071428571,MC Dropout,Noise,0.9585031364914557,0.012589680962264538
97,Level 5,0.9737723214285714,MC Dropout,Noise,0.9852953727976589,0.012247683480381966
98,Level 5,0.9754464285714286,MC Dropout,Noise,0.9877522363220305,0.015099932439625263
99,Level 5,0.96484375,MC Dropout,Noise,0.9855132336335344,0.013286611065268517
0,Level 1,0.9938616071428571,Baseline,Grey,0.9921392476137001,0.0008762785000726581
1,Level 1,0.9910714285714286,Baseline,Grey,0.9913429054054054,0.0009776779916137457
2,Level 1,0.9927455357142857,Baseline,Grey,0.9827906775630215,0.0010038608452305198
3,Level 1,0.9910714285714286,Baseline,Grey,0.9788147522522522,0.0011719712056219578
4,Level 1,0.9827008928571429,Baseline,Grey,0.994761041197267,0.0016081221401691437
5,Level 1,0.9916294642857143,Baseline,Grey,0.9813168261114238,0.0010093571618199348
